customer_id,name,dob,nationality,residency_country,jurisdiction_risk,account_type,occupation,source_of_funds,pep_flag,screening_result,device_count,join_date,kyc_status,risk_score,onboarding_decision
1a3d1fa7-bc89-40a9-a3b8-c1e9392456de,Allison Hill,1979-09-04,Hungary,Hungary,Medium,Personal,Freelancer,Salary,False,Clear,1,2025-09-03,Verified,Low,Approved
b38a088c-a65e-4389-b74d-0fb132e70629,Jonathan Johnson,1989-01-31,Czech,Czech Republic,Low,Personal,Doctor,Savings,False,Clear,5,2024-12-18,Verified,Low,Approved
c241330b-01a9-471f-9e8a-774bcf36d58b,Connie Lawrence,1987-06-12,Brunei,Brunei,Low,Personal,Engineer,Business Revenue,False,Clear,3,2024-12-21,Verified,Medium,Approved
c37459ee-f50b-4a63-b71e-cd7b27cd8130,Melissa Peterson,1969-08-04,Uganda,Uganda,Medium,Personal,Real Estate Agent,Business Revenue,False,Clear,1,2024-12-20,Verified,Medium,Approved
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,Brandon Davis,1984-02-04,Tanzania,Tanzania,High,Personal,Doctor,Salary,False,Clear,2,2024-08-09,Verified,Medium,Approved
142c3fe8-60e7-4113-ac1b-8ca1f91e1d4c,Monica Herrera,1996-03-01,American,American Samoa,Low,Personal,Nurse,Salary,False,Clear,2,2024-11-14,Verified,Low,Approved
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,Sandra Montgomery,1963-02-26,Solomon,Solomon Islands,High,Business,Engineer,Business Revenue,False,Clear,1,2025-06-19,Verified,Medium,Approved
29a3b2e9-5d65-4441-9588-42dea2bc372f,Brian Ramirez,1964-07-18,Pakistan,Pakistan,Medium,Personal,Importer/Exporter,Salary,False,Clear,3,2025-10-25,Pending,Medium,Approved
12476f57-a5e5-45ab-aefc-fad8efc89849,Daniel Adams,1956-09-30,United,United Kingdom,Low,Business,Nightclub Owner,Salary,False,Clear,1,2025-07-26,Verified,Medium,Approved
451b4cf3-6123-4df7-b656-af7229d4beef,Carolyn Daniel,1966-07-09,Madagascar,Madagascar,High,Business,Nurse,Savings,False,Clear,2,2023-12-20,Verified,Medium,Approved
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,Margaret Hawkins DDS,1988-07-02,Korea,South Korea,Low,Business,Engineer,Salary,False,Clear,1,2024-01-29,Verified,Low,Approved
e9c349e0-3602-48ac-90f1-bc81448aaa9e,Andrew Stewart,1975-07-16,Romania,Romania,Medium,Business,Used Car Dealer,Salary,False,Clear,2,2025-06-29,Verified,High,Manual Review
e27a984d-6548-41d0-bfcd-9eb1a7cad415,Sherri Edwards,1972-01-31,Slovenia,Slovenia,Low,Personal,Civil Servant,Salary,False,Clear,2,2023-05-24,Verified,Low,Approved
89fa6a68-8fb5-427b-beb7-99193f22faf8,Judy Baker,1977-04-22,Sint,Sint Maarten,Medium,Personal,Civil Servant,Salary,False,Clear,1,2023-05-23,Verified,Low,Approved
ff50bde4-3825-47b8-9cab-cc97663f1c97,Kevin Hurst,1963-05-15,Algeria,Algeria,High,Personal,Engineer,Savings,False,Clear,1,2025-01-11,Verified,Low,Approved
ae340454-cac5-468c-a8f4-9481a0a04dc4,Ms. Ann Williams MD,1980-08-04,Kyrgyzstan,Kyrgyzstan,Medium,Personal,Freelancer,Business Revenue,False,Clear,1,2023-03-03,Verified,Medium,Approved
405cacec-8774-49a9-b7d2-1e02ff01cf99,Arthur James,1983-02-19,Cook,Cook Islands,Low,Personal,Nurse,Salary,False,Clear,1,2023-03-23,Verified,Low,Approved
e2817efd-ae84-4217-9d53-434bb88139b9,Shannon Smith,1977-02-01,Estonia,Estonia,Low,Personal,Nurse,Salary,False,Clear,2,2024-08-08,Verified,Low,Approved
287d06ca-6f4c-469a-8b22-d3081c8eaee9,Debra Davidson,1981-11-30,Korea,South Korea,Low,Personal,Real Estate Agent,Salary,False,Clear,1,2024-01-14,Verified,Low,Approved
c30ff46e-8026-495f-b8cd-a88b436d76e2,Troy Liu,1961-03-04,Poland,Poland,Low,Personal,Nurse,Business Revenue,False,Potential Match,2,2022-11-20,Verified,Low,Manual Review
81f631d4-a392-41a7-9777-a4774c66e0a8,Thomas Harrell,1964-04-17,South,South Korea,Low,Personal,Pawn Broker,Salary,False,Clear,1,2024-04-27,Verified,Low,Approved
ec24a3c5-c754-408f-b418-8f3f8a14be62,Brittany Farmer,1959-07-23,Puerto,Puerto Rico,Low,Personal,Used Car Dealer,Salary,False,Clear,1,2025-04-26,Verified,Low,Approved
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,April Nguyen,1965-01-13,Andorra,Andorra,Low,Business,Importer/Exporter,Salary,False,Clear,1,2023-07-23,Verified,Medium,Approved
913e4de2-e0c5-4cb8-bda9-c2a90ed42f1a,Sandra Parker,1958-07-31,Polynesia,French Polynesia,Low,Personal,Teacher,Salary,False,Clear,5,2023-09-16,Pending,Low,Approved
885f6e66-c2b6-42c5-ba5d-310011b7e948,Angelica Tucker,1970-11-19,Greece,Greece,Low,Personal,Consultant,Business Revenue,False,Clear,2,2024-03-26,Verified,Medium,Approved
8715a103-43da-4043-aa45-c2ab8cbfedb0,Betty Alvarez,1989-04-27,Sint,Sint Maarten,Medium,Business,Civil Servant,Salary,False,Clear,1,2023-12-04,Verified,Medium,Approved
b09b2a5c-badc-432a-8159-0f538a0f4efb,Jenny Lewis,1980-01-16,Bulgaria,Bulgaria,Low,Personal,Nurse,Salary,False,Clear,1,2024-04-30,Verified,Low,Approved
e64d1bcb-7027-43a1-9f98-7c71a65e688e,Eric Carney,1983-02-21,Poland,Poland,Low,Personal,Crypto Trader,Savings,False,Clear,1,2025-10-03,Pending,Low,Approved
8dcdcd03-969b-4662-8562-8059568cc69b,Barbara Walker,1972-09-04,Zealand,New Zealand,Low,Personal,Nightclub Owner,Business Revenue,False,Clear,4,2025-09-07,Verified,Medium,Approved
114125c6-3a9b-4dd4-8f12-59e0a18ff6b6,Daniel Jones,1981-07-11,Slovakia,Slovakia,Low,Personal,Crypto Trader,Business Revenue,False,Clear,1,2022-11-04,Verified,Low,Approved
7c441fe7-ab42-40a7-874a-493b3ceddf2d,Shannon Jones,1983-11-29,Polynesia,French Polynesia,Low,Personal,Freelancer,Salary,False,Clear,1,2023-04-26,Verified,Low,Approved
3e351128-7900-47f9-9382-9b43922fe15a,Carlos Walls,1985-01-26,Papua,Papua New Guinea,Medium,Personal,Consultant,Salary,False,Clear,1,2025-07-04,Verified,Low,Approved
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,Rhonda Lee,1992-03-07,Kyrgyzstan,Kyrgyzstan,Medium,Personal,Civil Servant,Salary,False,Clear,3,2023-06-10,Verified,Medium,Approved
310c0c00-3fa7-4104-9bf9-0e27dc96925e,James Morgan,2000-04-14,Vanuatu,Vanuatu,Medium,Personal,Importer/Exporter,Business Revenue,False,Clear,1,2024-05-24,Verified,Medium,Approved
dfde4fbf-3ff3-40bf-b66e-cb15474ebc19,Jerry Henderson,1976-06-18,Brunei,Brunei,Low,Personal,Importer/Exporter,Salary,False,Clear,1,2024-02-20,Verified,Low,Approved
a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,Jessica Callahan,1960-10-05,Kosovo,Kosovo,Low,Personal,Crypto Trader,Salary,False,Clear,3,2022-12-14,Verified,Medium,Approved
7b3a4e3e-7c52-4a17-a80a-c07a2a935d62,Dr. Tracy House DVM,1997-10-16,Zimbabwe,Zimbabwe,Medium,Business,Civil Servant,Savings,False,Clear,2,2024-01-29,Verified,Medium,Approved
63f2ae24-fc3d-4348-808d-4127610461e3,James Brown,1957-08-09,Kingdom,United Kingdom,Low,Personal,Crypto Trader,Business Revenue,False,Clear,5,2025-11-01,Verified,Medium,Approved
bb026576-f512-44c3-b253-d2186c4a37ea,Richard Gibson,1957-06-07,Canada,Canada,Low,Personal,Civil Servant,Salary,False,Clear,1,2024-09-25,Verified,Low,Approved
0ef8c2d6-f7fd-4646-b7bb-3eec4bf50b52,Kristi Higgins MD,1992-10-26,Niue,Niue,Low,Personal,Software Developer,Salary,False,Clear,2,2023-01-25,Verified,Low,Approved
7a0ecfea-958c-49ba-8cd6-20c20ea2622b,Kimberly Adkins,1956-10-29,Nigeria,Nigeria,High,Personal,Teacher,Salary,False,Clear,3,2023-10-13,Verified,Medium,Approved
